identifier,creator,title,publisher,date,bibliographicCitation,description
bloom-1,"John Ka, William S. Burroughs, Gregory Corso, Allen Ginsberg, Tuli Kupferberg, Walt Whitman",BLOOM,Detroit: Artist's Workshop Press,1967,,"First edition. Staplebound mimeograph. Per Brian Cassidy: ""Scarce book from John Sinclair's Detroit press. Ka illustrates erotic works by Allen Ginsberg, Whitman, William S. Burroughs, Corso, Gary Snyder, Kerouac, Tuli Kupferberg, and others. ... From an edition of 500 copies ... OCLC locates only 5 copies, almost all in Michigan. ... not in  Morgan, Maynard & Miles, or McNeil."" Also not in Schottlaender."
the-soft-machine-3,William S. Burroughs,The Soft Machine,"New York: Grove Press, Inc.",1967,"schottlaender/4.0/A5c, maynard-and-miles/A5c","First American paperback. Owner's signature, some yellowing."
the-ticket-that-exploded-4,William S. Burroughs,The Ticket That Exploded,"New York: Grove Press, Inc.",1967,"schottlaender/4.0/A6b, maynard-and-miles/A6b",First American. Dust jacket slightly torn vertically on back.
the-ticket-that-exploded-5,William S. Burroughs,The Ticket That Exploded,"New York: Grove Press, Inc.",1967,"schottlaender/4.0/A6b, maynard-and-miles/A6b",First American. Signed by Burroughs. Dust jacket slightly yellowed.
so-who-owns-death-tv-1,William S. Burroughs,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,"schottlaender/4.0/A17a, maynard-and-miles/A13a",First.
so-who-owns-death-tv-2,William S. Burroughs,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,"schottlaender/4.0/A17a, maynard-and-miles/A13a",First (variant). Some creasing in lower left hand corner and close to spine.
so-who-owns-death-tv-3,William S. Burroughs,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,"schottlaender/4.0/A17b, maynard-and-miles/A13b",Second. Slight evidence of price sticker removal on front wrapper.
burroughs-pelieu-kaufman-1,William S. Burroughs,Burroughs Pelieu Kaufman,Paris: L'Herne,1967,"schottlaender/4.0/A18a, maynard-and-miles/D11",First. Number 33 of 40. With uncut pages and with signed and numbered lithograph by Jean Helion laid in.
les-lettres-du-yage-1,"William S. Burroughs, Allen Ginsberg",Les lettres du Yage,Paris: L'Herne,1967,"schottlaender/4.0/D143, maynard-and-miles/D10","First French. Presentation copy  inscribed by Burroughs ""For Mary Beach and Claude Pelieu William Burroughs"" , also signed by Allen Ginsberg ""Allen Ginsberg Ah."""
klacto-23-1,William S. Burroughs,Klacto 23,,1967-09,"schottlaender/4.0/C162, maynard-and-miles/C174",
minutes-to-go-2,William S. Burroughs,Minutes To Go,"San Francisco: Beach Books, Texts and Documents",1968,"schottlaender/4.0/A4b, maynard-and-miles/A3b",First American. Owner's signature.
minutes-to-go-3,William S. Burroughs,Minutes To Go,"San Francisco: Beach Books, Texts and Documents",1968,"schottlaender/4.0/A4b, maynard-and-miles/A3b","First American. Personal copy of Kathy Acker, signed by Acker."
the-soft-machine-4,William S. Burroughs,The Soft Machine,London: Calder & Boyars,1968,"schottlaender/4.0/A5d, maynard-and-miles/A5d","First British.  Inscribed by Burroughs to his agent Michael Henshaw ""For Michael Henshaw with friendship and best wishes William S. Burroughs."""
the-ticket-that-exploded-6,William S. Burroughs,The Ticket That Exploded,"New York: Grove Press, Inc.",1968,"schottlaender/4.0/A6c, maynard-and-miles/A6c","Second printing. Inscribed by Burroughs on title page “For Richard Aaron William S. Burroughs."" Per Ken Lopez, at one time this was in the collection of Robert and Donna Jackson: ""Jackson, a book collector long before he purchased Burroughs' papers, also acquired a number of other copies of Burroughs titles, including ... another group inscribed to Richard Aaron, the bookseller who had helped facilitate the sale of the [Vaduz] archive."""
